entered word,name,state code,mampulan symbol,definition,etymology,,,,,,,,,,,,,
Agalando,Agalando,,agalando,a province (AGA),agala + lando = agalando (eagle land),,,,,,,,,,,,,
Asolan,Asolan,,asolan,a province (ASO),aso lando = asolan (dog land),,,,,,,,,,,,,
Damido-,Damidō,,damido-,a province (DAM),dami dōbu = damidō (a lot of animal),,,,,,,,,,,,,
Damshanlan,Damshanlan,,damxanlan,a province (DAS),dami shan lando = damshanlan (a lot of mountain land),,,,,,,,,,,,,
Dapangisangado,Dapangisangado,,dapaqisaqado,a province (DAP),dapangi + sangado = dapangisangado (wolf territory),,,,,,,,,,,,,
e-spa Island ,Ēspa Island ,,e-spa i^la,a province (ESP),ēsu + pa = ēspa island (west part island),,,,,,,,,,,,,
Horibama,Horibama,,horibama,a province (HOR),hori bama = horibama (horizontal seashore),,,,,,,,,,,,,
Inabalupa,Inabalupa,,inabalupa,a province (INA),yenabaku (old name for desert) + lupa = inabalupa (desert area),,,,,,,,,,,,,
Lataranlan,Lataranlan,,lataranlan,a province (LAT),lataran lando = lataranlan (coyote land),,,,,,,,,,,,,
Libodabo,Libodabo,,libodabo,a province (LIB),libo daho = libodabo (thousand leaves),,,,,,,,,,,,,
Li^nospa,Lînospa,,li^nospa,a province (LIN),layo nōsu lupa = lînospa (far north area),,,,,,,,,,,,,
Li^roti,Lîroti,,li^roti,a province (LIR),layo furoti = lîroti (far frontier),,,,,,,,,,,,,
Lopula^n,Lopulân,,lopula^n,a province (LOP),lawa pulân = lopulân (wide plain),,,,,,,,,,,,,
Mikakko-,Mikakkō,,mikakko-,a province (MIK),mikakukukō = mikakkō (delta of a river),,,,,,,,,,,,,
Mi^kelan,Mîkelan,,mi^kelan,a province (MIL),(mîkel) Michael land = mîkelan (Michael land),,,,,,,,,,,,,
No-slan,Nōslan,,no-slan,a province (NOS),nōsu + lando = nōslan (northern land),,,,,,,,,,,,,
Pangilan,Pangilan,,paqilan,a province (PAN),Pangil lando = pangilan (Pangil land),,,,,,,,,,,,,
So^si^la,Sôsîla,,so^si^la,a province (SOS),sôsu îla = sôsîla (southern island),,,,,,,,,,,,,
Tumampula^n ,Tumampulân ,,tumampula^n,a province (TUM),tumang + pulân = tumampulân (fox plain),,,,,,,,,,,,,
Tumbi Valley,Tumbi Valley,,tumbi vali,a province (TUB),tumang + rabi = tumbi valley (fox and rabbit valley),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AGA,,,,Abbreviation of Agalando,,,,,,,,,,,,,,
ASO,,,,Abbreviation of Asolan,,,,,,,,,,,,,,
DAM,,,,Abbreviation of Damidō,,,,,,,,,,,,,,
DAS,,,,Abbreviation of Damshanlan,,,,,,,,,,,,,,
DAP,,,,Abbreviation of Dapangisangado,,,,,,,,,,,,,,
ESP,,,,Abbreviation of Ēspa Island ,,,,,,,,,,,,,,
HOR,,,,Abbreviation of Horibama,,,,,,,,,,,,,,
INA,,,,Abbreviation of Inabalupa,,,,,,,,,,,,,,
LAT,,,,Abbreviation of Lataranlan,,,,,,,,,,,,,,
LIB,,,,Abbreviation of Libodabo,,,,,,,,,,,,,,
LIN,,,,Abbreviation of Lînospa,,,,,,,,,,,,,,
LIR,,,,Abbreviation of Lîroti,,,,,,,,,,,,,,
LOP,,,,Abbreviation of Lopulân,,,,,,,,,,,,,,
MIK,,,,Abbreviation of Mikakkō,,,,,,,,,,,,,,
MIL,,,,Abbreviation of Mîkelan,,,,,,,,,,,,,,
NOS,,,,Abbreviation of Nōslan,,,,,,,,,,,,,,
PAN,,,,Abbreviation of Pangilan,,,,,,,,,,,,,,
SOS,,,,Abbreviation of Sôsîla,,,,,,,,,,,,,,
TUM,,,,Abbreviation of Tumampulân,,,,,,,,,,,,,,
TUB,,,,Abbreviation of Tumbi Valley,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,AGA,,,,,,,,,,,,,,,,
,,AGA,,,,,,,,,,,,,,,,
,,AGA,,,,,,,,,,,,,,,,
,,AGA,,,,,,,,,,,,,,,,
,,AGA,,,,,,,,,,,,,,,,
,,AGA,,,,,,,,,,,,,,,,
Agala City,Agala City,AGA,agala mit,a city,agala = eagle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Wanwan City,Wanwan City,ASO,wanwan mit,a city,Wanwan City (Wanwan is an onomatopoeia),,,,,,,,,,,,,
Ba-k City ,Bāk City ,ASO,ba-k mit,a city,Bāk City (from Bark which is an onomatopoeia),,,,,,,,,,,,,
Ka^ni^nlan,Kânînlan,ASO,ka^ni^nlan,a city,kânîn + lando = kânînlan (“canine” land),,,,,,,,,,,,,
Inulan,Inulan,ASO,inulan,a city,,,,,,,,,,,,,,
Pawesome Town,Pawesome Town,ASO,po-sam bi^n,a city,,,,,,,,,,,,,,
Haciko-,Hacikō,ASO,haciko-,a city,,,,,,,,,,,,,,
Li^ka,Lîka,ASO,li^ka,a city,,,,,,,,,,,,,,
Asolan City,Asolan City,ASO,asolan mit,a city,,,,,,,,,,,,,,
Pangidolan,Pangidolan,ASO,paqidolan,a city,,,,,,,,,,,,,,
Pangapin,Pangapin,ASO,paqapin,a city,,,,,,,,,,,,,,
Panraki,Panraki,ASO,panraki,a city,,,,,,,,,,,,,,
Bangap,Bangap,ASO,baqap,a city,,,,,,,,,,,,,,
Rangilan,Rangilan,ASO,raqilan,a city,,,,,,,,,,,,,,
Woltaku,Woltaku,ASO,woltaku,a city,,,,,,,,,,,,,,
Wilforlan,Wilforlan,ASO,wilforlan,a city,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Adler,Adler,DAS,adler,a city,,,,,,,,,,,,,,
Agalashan,Agalashan,DAS,agalaxan,a city,,,,,,,,,,,,,,
Agalate,Agalate,DAS,agalate,a city,,,,,,,,,,,,,,
Agemashan,Agemashan,DAS,agemaxan,a city,,,,,,,,,,,,,,
Agilan,Agilan,DAS,agilan,a city,,,,,,,,,,,,,,
Agile,Agile,DAS,agile,a city,,,,,,,,,,,,,,
Agle,Agle,DAS,agle,a city,,,,,,,,,,,,,,
Andilan,Andilan,DAS,andilan,a city,,,,,,,,,,,,,,
Argan,Argan,DAS,argan,a city,,,,,,,,,,,,,,
Artelan,Artelan,DAS,artelan,a city,,,,,,,,,,,,,,
Chayane,Chayane,DAS,cayane,a city,,,,,,,,,,,,,,
Elishan,Elishan,DAS,elixan,a city,,,,,,,,,,,,,,
Erate,Erate,DAS,erate,a city,,,,,,,,,,,,,,
Eris,Eris,DAS,eris,a city,,,,,,,,,,,,,,
Ertanis,Ertanis,DAS,ertanis,a city,,,,,,,,,,,,,,
Ertas,Ertas,DAS,ertas,a city,,,,,,,,,,,,,,
Hi^aplan,Hîaplan,DAS,hi^aplan,a city,,,,,,,,,,,,,,
Īgelan,Īgelan,DAS,i-gelan,a city,,,,,,,,,,,,,,
Kanote,Kanote,DAS,kanote,a city,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ogami,Ogami,DAP,ogami,,,,,,,,,,,,,,,
Waya,Waya,DAP,waya,,,,,,,,,,,,,,,
Warris,Warris,DAP,waris,,,,,,,,,,,,,,,
Mahīgan,Mahīgan,DAP,mahi-gan,,,,,,,,,,,,,,,
Wilharme,Wilharme,DAP,wilharme,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,ESP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,HOR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lataranate,Lataranate,INA,lataranate,,,,,,,,,,,,,,,
Lanote,Lanote,INA,lanote,,,,,,,,,,,,,,,
Koyate,Koyate,INA,koyate,,,,,,,,,,,,,,,
Larate,Larate,INA,larate,,,,,,,,,,,,,,,
Alichusines,Alichusines,INA,alicusines,,,,,,,,,,,,,,,
Nowata,Nowata,INA,nowata,,,,,,,,,,,,,,,
Noaksijen,Noaksijen,INA,noaksijen,,,,,,,,,,,,,,,
Chulan,Chulan,INA,culan,,,,,,,,,,,,,,,
Pangin Town,Pangin Town,INA,laqin bi^n,,,,,,,,,,,,,,,
Mesodori^,Mesodorî,INA,mesodori^,,,,,,,,,,,,,,,
Inalo Plains,Inalo Plains,INA,inalo pula^n,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Wilbuch,Wilbuch,LIB,wilbuc,,,,,,,,,,,,,,,
Wilkil,Wilkil,LIB,wilkil,,,,,,,,,,,,,,,
Wolan,Wolan,LIB,wolan,,,,,,,,,,,,,,,
Wangi,Wangi,LIB,waqi,,,,,,,,,,,,,,,
